MODELO;MARCA
GW6;GREAT WALL
MACAN GTS;PORSCHE
WR V EX  AT;HONDA
EXPERT TEPEE LOIS 2.0;PEUGEOT
Q5 TFSI QUATTRO FL 2;AUDI
N OUTLANDER GLS 2.4 AT;MITSUBISHI
ESCAPE XLS 4X4 2.5 A;FORD
CR V LR 2.4 AUT;HONDA
DURANGO CREW LUX AWD 3.6;DODGE
H2 DELUXE 1.5 AUT;HAVAL
NEW MORNING 1.0 AUT;KIA
BERLINGO HDI;CITROEN
NEW GRAND CHEROKEE L AUT;JEEP
2008 1.6;PEUGEOT
H1 CRDI2.5 AT;HYUNDAI
REFINE VAN TURBO 2.8;JAC
EX7 2.4 AUT;GEELY
FORESTER XT 2.0;SUBARU
NEW PATHFINDER ADVAN;NISSAN
COOPER COUNTRYMAN PE;MINI
RENEGADE LONGITUD;JEEP
TUCSON TL GLS PREMIUM 4X4 2.0 AT;HYUNDAI
HAVAL H2 CLE 4X4 1.5;GREAT WALL
3008 ACTIVE HDI FULL;PEUGEOT
 LEGACY ;SUBARU
NEW TRIBECA AWD 3.6 AT;SUBARU
Q3 FSI QUATTRO 2.0 A;AUDI
;CHANGAN
TUCSON GLS LTD CRDI 4X4 2.0 AUT;HYUNDAI
FREELANDER 2 4X4 2.2;LAND ROVER
ACTYON FULL CRDI 2.0 AUT;SSANGYONG
GLE 450 AMG;MERCEDES BENZ
GALANT 2.3 AUT;MITSUBISHI
GRAND VITARA 4X4 1.6;
HAVAL H6 2.0;GREAT WALL
NG TRAVERSE PREMIER3.6;CHEVROLET
MOHAVE EXAT;KIA MOTORS
ROUTAN 3.6 AUT;VOLKSWAGEN
X1 SDRIVE 18I XLINE;BMW
TUCSON GLS 4X4 2.0;HYUNDAI
KORANDO 4X4 2.2 AUT;SSANGYONG
CX 5 GT FULL 4X4 2.5;MAZDA
JOURNEY 4X4 3.5 AUT;DODGE
TIGUAN TSI COMFORT E;VOLKSWAGEN
NEW CARENS LX 2.0 AU;KIA MOTORS
X55  AT;BAIC
TUCSONADVANCE  AT;HYUNDAI
;DODGE
STARRY 1.5;GAC GONOW
TOWN AND COUNTRY L;CHRYSLER
TIGGO GLS 1.6;CHERY
TEPEE OUTDOOR 1.6;PEUGEOT
H30 CROSS NOBLE 1.6 AUT;DFM
SANTA FE FL GLS TURBO 4X4 2.2;HYUNDAI
NEW RAV4 LTD2.5 AT;TOYOTA
HAVAL H6 CLE 1.5;GREAT WALL
Q5 FSI 4X4 2.0 AUT;AUDI
FORESTER LTD AWD 2.5 AUT;SUBARU
TOUAREG TDI3.0 AT;VOLKSWAGEN
 ;MAHINDRA
Q3 TDI QUATTRO 2.0 A;AUDI
XUV500 FL CRDE LTD 4X4 2.2;MAHINDRA
MINIVAN APV GL 1.6;
;VOLVO
Q5 SPORT TFSI;AUDI
NEW RAV4 LTD 4X4 2.4;TOYOTA
PATRIOT SPORT 2.0 AUT;JEEP
NEW CX 94X4 2.5;MAZDA
WRANGLER UNLIMITED2.8;JEEP
ALL NEW IMPREZA XS AWD 2.0I;SUBARU
V60 CC T5 COMFORT 4X4 2.5 AUT;VOLVO
PRADO TXL 4X4 2.7 AUT;TOYOTA
CX 5 I TOP;MAZDA
OUTBACK XS AWD 2.0I AUT;SUBARU
CX 5 4X4 2.5 AUT;MAZDA
CAPTIVA SPORT 3.0 AUT;CHEVROLET
DURANGO SLT 4WD 4.7;DODGE
SORENTO EX 2.3;KIA
NEW LAND CRUISER PRADO LTD 4.0;TOYOTA
X TRAIL ADVANCE AUT;NISSAN
NEW XL7 GLX 4WD 3.6;SUZUKI
SORENTO EX FULL 4X4 2.3 AUT;KIA
DURANGO LTD LX 4X4 5.7 AUT;DODGE
WRANGLER 4X4 3.6 AUT;JEEP
580 LUXURY;DFSK
REXTON TURBO 2.0;SSANGYONG
CAPTIVA 6 LT SA;CHEVROLET
COMPASS 2.0;JEEP
NEW MONTERO SPORT G2 3.2 AT;MITSUBISHI
IMPREZA 1.5R AWD XS SPORT;SUBARU
EXPEDITION EDDIE BAUER 5.4 AUT;FORD
SCION IQ;TOYOTA
SANTA FE 4X4 3.3 AUT;HYUNDAI
SX4 CROSSOVER 1.6 AUT;SUZUKI
ALL NEW LAND CRUISER;TOYOTA
NEW CARNIVAL GSL 2.7 AT;KIA MOTORS
FORESTER SPORT2.5I;SUBARU
XC60 T6 PLUS 3.0;VOLVO
PATHFINDER LUX 4X4 2;NISSAN
SANTA FE CM GLS 4X4 2.7 AUT;HYUNDAI
EQUINOX LS 4X4 2.4 A;CHEVROLET
SPORTAGE PRO II 1.9;KIA MOTORS
NITRO SLT CRD 4X4 2.8 AUT;DODGE
LF X50;LIFAN
MACAN S 3.0;PORSCHE
GRAND NOMADE IV GLX;
EXPLORER 2.8 AUT;FORD
SPORTAGE EX 4X4 FULL 2.0 AT;KIA MOTORS
TIGUAN SPORT TSI 4X4 AT;VOLKSWAGEN
REFINE VAN 2.0;JAC
PILOT EX 3.5 AT;HONDA
NEW TUCSON TLACTIVE;HYUNDAI
GRAND SANTA FECRDI 4WD  AT;HYUNDAI
ESCAPE LIMITED 4X4 2;FORD
YETI FL AMB TSI 1.2;SKODA
V60 CC T5 COMFORT2.5;VOLVO
X6 XDRIVE50I SPORT 4.4 AUT;BMW
MONTERO SPORTAT;MITSUBISHI
NEW GRAND CHEROKEE LTD 5.7 AUT;JEEP
XC 90 AWD 3.2 AUT;VOLVO
CR V EX DOCH HB 2.4 AUT;HONDA
PATRIOT LATITUDE 2.0 AUT;JEEP
S CROSS GA 1.6;SUZUKI
XTRAIL SENSE 1.6 AUT;NISSAN
JOYEAR LUXURY;DFM
EXPLORER XLT3.5 AT;FORD
NEW RAV4 4X4 CVT 2.0;TOYOTA
CX9 4X4 3.7 AUT;
OUTBACK LTDCVT 2.5I;SUBARU
N GRAND CHEROKEE LAR;JEEP
CX 9 GT FULL AWD 3.7;
NEW XV 4WD 1.6I AUT;SUBARU
NEW GRAND CHEROKEE L 4X4 3.7 AUT;JEEP
CX5  AT;MAZDA
X TRAIL X LTD 2.5 AU;NISSAN
RS4 AVANT FSI Q 4.2;AUDI
ALL NEW OUTBACK DRIVE AWD 3.6R AT;SUBARU
ALL NEW OUTBACK 2.5I 4X4 LIMITED;SUBARU
X3 XDRIVE35I FULL 3.;BMW
HIJET 660CC;DAIHATSU
MONTERO GLS SPORT 2.;MITSUBISHI
ECOSPORT TITANIUM  AT;FORD
TAHOE LTZ 4WD 5.3 AUT;CHEVROLET
OUTBACK 4X4 2.5 AUT;SUBARU
Q3 2.0 AUT;AUDI
G SANTA FE GLS CRDI 4X4 2.2 AUT;HYUNDAI
TRAILBLAZER II 4WD 4;CHEVROLET
C30 2.5;VOLVO
CROSS CVT;SUZUKI
4RUNNER SR5AT;TOYOTA
SORENTO GTL 4X4 3.3 AT;KIA MOTORS
F60 COUNTRYMAN COOPER S  AT;MINI
EQUINOX PREMIER AT;CHEVROLET
ALL N OUTBACK DYNAMIC2.5I;SUBARU
MONTERO SPORT 4WD  AT;MITSUBISHI
TIVOLI AWD 1.6 AUT;SSANGYONG
NEW REXTON CRDI 4X4;SSANGYONG
GRAND VITARA  AT;SUZUKI
RANGE ROVER SPORT 4X4 3.0 AUT;LAND ROVER
JUKE 4X4 CVT 1.6;NISSAN
PATHFINDER LE 4X4 AU;NISSAN
CR V LX 4X4 2.4;HONDA
NEW TUCSON FL 4X4 2.0 AUT;HYUNDAI
GRAND SANTA FE CRDI 4WD  AT;HYUNDAI
LF6420E EPS LX 1.2;LIFAN
TIGUAN TSI 4X4 2.0;VOLKSWAGEN
ESCAPE II XLT AUT;FORD
H30 ELEGANT;DFM
RX350F SPORT3.5;LEXUS
4RUNNER SR5 LTD 4X4;TOYOTA
GRAN NOMADE 2.0;SUZUKI
ESCAPE 4X4 1.6 AUT;FORD
EXPEDITION 4X4 5.4;FORD
PRIUS;TOYOTA
3008 ACTIVE HDI;PEUGEOT
TIGUAN TREND FUND TSI 1.4;VOLKSWAGEN
COROLLA;TOYOTA
LAND CRUISER 4X4;TOYOTA
PROBOX 1.3 AUT;TOYOTA
TIVOLO 1.6;SSANGYONG
PILOT3.5;HONDA
EXPLORER 4X4 2.0 AUT;FORD
GLC 220 2.1;MERCEDES BENZ
CS53 1.6;CHANGAN
ALL NEW FORESTER 4X4 2.0 AUT;SUBARU
SANTA FE 3.3 AUT;HYUNDAI
TIGUAN ENTRY COMFORTLINE 1.4;VOLKSWAGEN
TOUAREG TDI 4WD;VOLKSWAGEN
RANGE ROVER EVOQUE 4X4 2.0 AUT;LAND ROVER
V 40 2.0 AUT;VOLVO
X TRAIL CVT2.5;NISSAN
CARENS LX GSL 2.0 AUT;KIA MOTORS
NEW CX3 R;MAZDA
X TRAIL SENSE AUT;NISSAN
TUCSON TL CRDI 2.0 AUT;HYUNDAI
GRAND CHEROKEE SPRIN;JEEP
S2 CE CVT;JAC
DISCOVERY SPORT LUX 2.0;LAND ROVER
ALL NEW OUTBACK LTD 4X4 2.0D AUT;SUBARU
JUKE UPPER 4X4 CVT 1;NISSAN
MONTERO G2 SPORT GLX 4X4 2.5;MITSUBISHI
3008 PREMIUM SUV HDI;PEUGEOT
CX 9 3.5 AUT;MAZDA
X5 XDRIVE30D SPORT 3;BMW
V CLASS ADVANTGARDE;MERCEDES BENZ
DURANGO SXT 4X4 3.6;DODGE
TRIP SE 1.8;
TUCSON TL CRDI 4WD;HYUNDAI
ML350 SPORT;MERCEDES BENZ
NEW PATHFINDER 3.5;NISSAN
XC60 D4 COMFORT 4X4;VOLVO
RENEGADE SPORT AT;JEEP
COOPER COUNTRY 4X4 1;MINI
I30 1.6 AUT;HYUNDAI
FORESTER 2 XS 4X4 2.;SUBARU
4008 FELINE E HDI;PEUGEOT
GRAND NOMADE 4X4 2.4;
ALL NEW OUTBACK XV AWD 2.5I AUT;SUBARU
PILOT EXL 2.5 AUT;HONDA
QASHQAI FULL 4X4 2.0 AT;NISSAN
H1 GLS TCI 2.5;HYUNDAI
SORENTO EX 4X4 2.3 AUT;KIA
CX 9 AT;
JUKE FULL 1.6 AUT;NISSAN
XC90 T5 KINETIC 4WD;VOLVO
C4 PICASSO CVA;CITROEN
GRAND VITARA  IV GLX;
MONTERO LARGO 3.2;MITSUBISHI
CAPTIVA AT;CHEVROLET
KYRON CRDI 4X4 2.0 A;SSANGYONG
TIVOLI FULL;SSANGYONG
3008 PREMIUM HDI FULL 1.6;PEUGEOT
SPARK 1.0;CHEVROLET
KORANDO SPORT 4X4 2.;SSANGYONG
SPORTAGE PRO LX GSL 2.0 AUT;KIA MOTORS
MURANO LE AWD 3.5 AU;NISSAN
GLC250 2.0 AUT;MERCEDES BENZ
NEW PATHFINDER ADVANCE3.5;NISSAN
NEW CR V EXS 4X4 2.4 AUT;HONDA
LF X50 EX 1.5;LIFAN
GLC 220 DC;MERCEDES BENZ
LF6420E EPS LX VAN XL 1.2;LIFAN
RX450 H SPORT 4X4 3.;LEXUS
NEW H1 GL CRDI TURBO 2.5;HYUNDAI
FORTE;KIA
Q5 FSI QUATTRO 3.0;AUDI
3008 ALLURE BLUE 1.6 AUT;PEUGEOT
G10;MAXUS
FORESTER 2.0 4X4 AT;SUBARU
GLK 300 3.0 AUT;MERCEDES BENZ
X5 3.5 AUT;BMW
F60 COUNTRYMAN JCW  AT;MINI
FORESTER XT AWD CVT 2.0;SUBARU
X1 SDRIVE 20I URBAN;BMW
C4 PICASSO HDI 1.6 AUT;CITROEN
ESCAPE LIMITED 4X4 3;FORD
MDX 3.5;ACURA
Q5 FSI QUATTRO FL 2.;AUDI
TRANSPORTER 2.0 AUT;VOLKSWAGEN
H6 SPORT DELUXE 4X4 1.5;HAVAL
GS 4WD;MG
SCORPIO GLX CRDE 4X4;MAHINDRA
MURANO ADVANCE 4WD CVT 3.5;NISSAN
GRAND CARNIVAL EX FULL 2.9;KIA MOTORS
GRAND NOMADE 4X4 3.2;SUZUKI
REXTON  AT;SSANGYONG
G VITARA GLX 4X4 1.6;SUZUKI
X50 EX 1.5;LIFAN
QX80 5.6;INFINITI
EXPERT PREMIUM 1.6;PEUGEOT
Q3 TDI ATTRACTION 2.0 AUT;AUDI
Q7 TFSI 4X4 2.0 AUT;AUDI
GLK350 3.5 AUT;MERCEDES BENZ
NEW TUCSON FL CRDI GL 4X4 2.0 AUT;HYUNDAI
X35 LUXURY  AT;BAIC
XC90 D5 LTD 4X4 2.5 AUT;VOLVO
WRANGLER UNLTD RUBICON 4X4 3.8 AT;JEEP
GRAND VITARA 4WD;SUZUKI
TRANSPORTER KOMBI 2.;VOLKSWAGEN
ALL NEW FORESTER XS 4X4 CVT 2.0;SUBARU
TAHOE 5.3 AUT;CHEVROLET
PATHFINDER ADVANCE 4WD CVT 3.5;NISSAN
TUCSON CRDI GL 4WD 2.0;HYUNDAI
NEW II RX450 4X4 3.5;LEXUS
EXPER ALLURE HDI 2.0;PEUGEOT
GLE 400 3.0;MERCEDES BENZ
SAUVANA 4X4 2.0;FOTON
YUMSUN FULL 2.5 AUT;ZNA
PATHFINDER ADVANCECVT 3.5;NISSAN
PATHFINDER AUT;NISSAN
CRV LXS HATCHBACK 2.4 AUT;HONDA
XC70 D5 4X4 2.4 AUT;VOLVO
PARTNER TEPPE HDI 1.6;PEUGEOT
RANGE SPORT 4X4 3.0;LAND ROVER
4RUNNER3.9;TOYOTA
TAHOE LT III 4X4 5.3;CHEVROLET
TUCSON GLS LTD 4X4 2.0 AT;HYUNDAI
MACAN GTS 3.0;PORSCHE
DURANGO SLT 4X4 4.7;DODGE
SPORTAGE LX TURBO 4X4 2.0;KIA
N OUTLANDER 4X4 2.4 AUT;MITSUBISHI
FORTUNER SRX TDI2.8;TOYOTA
X1 SDRIVE XLINE 2.0 AUT;BMW
MOHAVE EX 3.0 AUT;KIA MOTORS
X1 SDRIVE20I LUXURY 2.0 AUT;BMW
 ;SSANGYONG
H2 ELITE 1.5 AUT;HAVAL
PILOT TOURING 3.5 AUT;HONDA
NEW JOURNEY SXT AWD 3.6 AUT;DODGE
VERACRUZ 3.5;HYUNDAI
4RUNNER SR5 4X4 4.0 AT;TOYOTA
SORENTO 2.3 AUT;KIA
KORANDO TURBO 4X4 2.0;SSANGYONG
SPORTAGE PRO LX 2.0 AUT;KIA MOTORS
NEW TERIOS LEI 1.5 AUT;DAIHATSU
BESTUM X80 DLX 2.0 AUT;FAW
PRIMACY;MAZDA
S 60 COMFORT;VOLVO
C4 PICASSO HDI SD 2.0;CITROEN
NEW CLICK;HYUNDAI
V5D DELUXE 1.6 AUT;BRILLIANCE
COOPER COUNTRYMAN 4W;MINI
TRANSIT 2.5;FORD
Q7 TDI DESIGN 4X4 3.0 AUT;AUDI
ESCAPE 2.0 AT;FORD
2008 ALLURE E HDI FU;PEUGEOT
TIGUAN TURBO 4X4 2.0 AUT;VOLKSWAGEN
QX503.7;INFINITI
NEW PATHFINDER 4X4 A;NISSAN
5008 BLUE HDI;PEUGEOT
NEW 6 SPORT2.5;MAZDA
TUCSON CRDI GL 4X4 2.0;HYUNDAI
XUV500 LTD CRDE FULL 2.2;MAHINDRA
WRANGLER UNLTD SAHARA 4X4 2.8;JEEP
ESCAPE XLT LTD;FORD
TRANSIT 1.8;FORD
H7 DELUXE;HAVAL
G CHEROKEE OVERLAND5.7;JEEP
;BAIC
OUTBACK AWD 3.6R;SUBARU
Q53.2;AUDI
TUCSON TLLTD AT;HYUNDAI
ECOSPORT TITANIUM 2.0;FORD
OUTLANDER K2 GLS FULL 2.4 AUT;MITSUBISHI
VERACRUZ GLS CRDI 4X4 3.0 AT;HYUNDAI
ALL FORESTERD SPORTI;SUBARU
NEW IMPREZA XS CVT;SUBARU
DURANGO LTD LX 3.6;DODGE
TUCSON TL CRDI4WD;HYUNDAI
VERACRUZ 2.9;HYUNDAI
GRAND VITARA AT;SUZUKI
MONTERO CR FULL 4X4 3.2 AT;MITSUBISHI
HOVER LE 4X4 2.4;
NG TRAVERSE LT3.6;CHEVROLET
XC60 COMFORT FULL;VOLVO
OCTAVIA COMBI;SKODA
XC90 R DESING TURBO 4X4 2.4 AUT;VOLVO
ALL NEW OUTBACK AWD 2.0;SUBARU
FJ CRUISER LTD;TOYOTA
HRVLC;HONDA
ML350 BLUETEC 3.0 AU;MERCEDES BENZ
VITO 110 CDI 2.1;MERCEDES BENZ
ACTYON FULL 2.0;SSANGYONG
PATHFINDER FULL 2.5;NISSAN
NEW KYRON CRDI 2.0;SSANGYONG
TUCSON TL CRDI ADVANCE 2.0 AT;HYUNDAI
CX9 GTX3.7;MAZDA
GLS 350D 3.0;MERCEDES BENZ
GLE 400 3.0 AUT;MERCEDES BENZ
NEW KYRON TURBO 2.0;SSANGYONG
FORESTER DYNAMIC 4X4;SUBARU
BESTUM X80 DLX 2.0 AT;FAW
NEW SORENTO VGT EX F;KIA MOTORS
EQUINOX FWD;CHEVROLET
CIVIC;HONDA
CAPTIVA IV FULL AWD;CHEVROLET
HRV LX CVT 1.8;HONDA
SCORPIO GLX FULL 4X4;MAHINDRA
4RUNNER LIMITED 4WD;TOYOTA
ACCORD CROSSTOUR AWD;HONDA
H1 GL CRDI 2.5;HYUNDAI
TRIBUTE 2.5 AUT;MAZDA
MERIVA ENJOY 1.4 AT;OPEL
V60CC T5 LTD AWD 2.5;VOLVO
ML350 CDI 4X4 3.0 AUT;MERCEDES BENZ
5008 ALLURE HDI;PEUGEOT
GRAND CARNIVAL 2.2 A;KIA
GRAND CHEROKEE 3.0 A;JEEP
GRAND NOAMDE LTD 4X4;
ML350 BLUEEFFICIENCY SPORT 3.0 AUT;MERCEDES BENZ
35;JAC
TEPEE FAMILIA LE 1.6;PEUGEOT
Q7 TDI QUATTRO 4.2 A;AUDI
GS5 2.0 AUT;GAC
EXPLORER XLT 2.0 AUT;FORD
SORENTO 4X4 2.0 AUT;KIA MOTORS
GRAND SANTA FE3.3 AT;HYUNDAI
NEW CR V LX LTD 2.4 AUT;HONDA
XC60 COMFORT AWD 2.5 AUT;VOLVO
YETI CITY AMBITION TDI 4X4 2.0 AUT;SKODA
220I CABRIO 1.5 AUT;BMW
YUKON DENALI XL 4X4;GMC
XC60 T5 4X4 2.5 AUT;VOLVO
ORLANDO LS  AT;CHEVROLET
HAVAL H3 LE;GREAT WALL
ALL NEW OUTBACK XS AWD 2.5 AUT;SUBARU
ALL NEW OUTBACK 2.5 AWD XV;SUBARU
CAPTUR LIFE;RENAULT
EXPLORER  AT;FORD
SANTA FE CRDI 4X4 2.2;HYUNDAI
SPORTAGE GLT 2.0 AUT;KIA MOTORS
CAYENNE GTS 4X4 4.8;PORSCHE
Q7 TDI3.0;AUDI
WRANGLER UNLTD SPORT3.6;JEEP
ALL NEW IMPREZA XS AWD 2.0I AUT;SUBARU
CAYENNE E2 FULL 3.6 AUT;PORSCHE
DURANGO CREW LUX AWD;DODGE
XC60 T5 KINETIC;VOLVO
X1 2.5;BMW
WRANGLER3.6;JEEP
GRAND CARNIVAL EX FULL;KIA MOTORS
RSQ3 TFSI 2.5 AUT;AUDI
MURANO LE 3.5 HIPERTRONICA;NISSAN
XC90 4X4 2.0 AUT;VOLVO
ZAFIRA ENJOY 1.8;CHEVROLET
ALL NEW OUTBACK LTDCVT 3.6R;SUBARU
VELOSTER;HYUNDAI
BIANTE 2.0 AUT;MAZDA
ODYSSEY 3.5 AUT;HONDA
C;CITROEN
AXELA 1.5;MAZDA
RANGE ROVER 4WD 4.4 AUT;LAND ROVER
V3 SUV ELITE 1.5 AT;BRILLIANCE
LAND CRUISER4.0;TOYOTA
NEW LX570 5.7 AUT;LEXUS
TERRAIN SLE 4X4 3.0;GMC
FREELANDER 4X4 2.0 AUT;LAND ROVER
CHEROKEE LTD3.6;JEEP
QASHQAI LL 802 1.6;NISSAN
NITRO SXT 4X4 3.7 AU;DODGE
NEW TUCSON4X4;HYUNDAI
MONTERO CR 4X4 3.2 AT;MITSUBISHI
NEW MONTERO G2 GL SPORT 4X4 3.2;MITSUBISHI
ALL NEW OUTBACK XS 4X4 2.5I;SUBARU
SUBURBAN 4X4 5.3 AUT;CHEVROLET
TOWN Y COUNTRY TOURING 3.8;CHRYSLER
MURANO 4X4 AUT;NISSAN
NEW COMPASS SPORT 2.4 AUT;DODGE
NEW MONTERO SPORT 3.0 AUT;MITSUBISHI
NEW OUTBACK XS 4X4 2;SUBARU
TIIDA 4X4 1.5 AUT;NISSAN
YETI AMBITION TSI 1.;SKODA
X5 XDRIVE35 3.0 AUT;BMW
LAND CRUISER PRADO TX 4X4 2.7 AUT;TOYOTA
X1 SDRIVE 18I PREMIU;BMW
NEW QASHQAI ADVANCE 2.0 AUT;NISSAN
ORLANDO 2.0 AUT;CHEVROLET
GRAND SANTA FE CRDI 4X4 2.2 AUT;HYUNDAI
LANDMARK FULL 4X4 2.;ZXAUTO
FORESTER PREMIUMCVT 2.5I;SUBARU
COOPER COUNTRYMAN LCI 1.6 AUT;MINI
X5 XDRIVE 35I COMFOR;BMW
TUCSON TL CRDI 4WD  AT;HYUNDAI
ZDX ADVANCE FULL 3.7 AUT;ACURA
XC60 II T6 R DESIGN;VOLVO
NEW H1 GLS 2.5 AT;HYUNDAI
NEW XV LTD;SUBARU
FORESTER 20I;SUBARU
PATHFINDER ADVANCE 4WD 3.5 AUT;NISSAN
MONTERO SPORT HP GLS 4X4 2.5 AUT;MITSUBISHI
TIVOLI  AT;SSANGYONG
NEW OUTLANDER GLX 4X;MITSUBISHI
C200 CGI 1.8 AUT;MERCEDES BENZ
LEVANTE S3.0;MASERATI
NEW FORESTER 2.5 AWD AT;SUBARU
V90CC T5 KINETIC;VOLVO
ALL NEW OUTBACKD;SUBARU
TIGGO GLS 2.0;CHERY
CHEROKEE TRAILHAWK3.2;JEEP
3008 LTD E HDI FULL;PEUGEOT
4RUNNERAT;TOYOTA
COUNTRYMAN 1.6;MINI
J6 BSE 1.8;JAC
KOLEOS 4X4 2.4 AUT;RENAULT
CR V EXL HB 4X4 2.4;HONDA
ALL NEW OUTBACK XS 4WD 2.5I;SUBARU
NV200 2.5;NISSAN
RX350F SPORT 4X4 3.5;LEXUS
QASHQAI 4WD;NISSAN
TUCSON TL CRDI  AT;HYUNDAI
TIGUAN ENTRY 1.4;VOLKSWAGEN
X TRAIL S 4X4 2.5 HIPERTRONIC;NISSAN
NEW OUTBACK XS CVT 2.0I;SUBARU
IMPREZA 2.5 AUT;SUBARU
7 SUV DX FULL 2.0 AU;HAIMA
NEW X TRAIL ADVANCE CVT 2.5;NISSAN
HRVCVT;HONDA
ATENZA;MAZDA
HIGHLANDER 3.7 AUT;TOYOTA
V60 CC D4 COMFORT AWD 2.4;VOLVO
GLC 220 DC 2.0;MERCEDES BENZ
CAPTIVA 4WD;CHEVROLET
ROGUE 4X4 2.4 AUT;NISSAN
ENCLAVE3.6;BUICK
Q5 SLINE TFSI 3.0 AUT;AUDI
TEPPE ALLURE;PEUGEOT
COUNTRYMAN COOPER PEPPER 4WD 2.0 AT;MINI
PARTNER TEEPE;PEUGEOT
SANTA FE GLS 4WD FUL;HYUNDAI
ALL NEW OUTBACK LTD 4X4 2.0 AUT;SUBARU
CALIBER SXT DOHC VVT;DODGE
RANGE ROVER SPORT DYNAMIC 4.4;LAND ROVER
K61 021 1.3;DONGFENG
TOWN Y COUNTRY 4.0 A;CHRYSLER
ALL NEW LAND CRUISER4.0;TOYOTA
CX 9 TOURING 4X4 3.7 AUT;MAZDA
TERIOS WILD LEI 4X4;DAIHATSU
RAV4 4X4 AT;TOYOTA
LEGACY 2.0R AWD;SUBARU
CAPTIVA II LS FWD 2.;CHEVROLET
HAVAL H5 2.0 AUT;GREAT WALL
XC90 II T5 KINETIC;VOLVO
E200 2.0 AUT;MERCEDES BENZ
NUEVA TEPEE OUTDOOR ALLURE HDI;PEUGEOT
NEW TUCSON GLS FL 4W;HYUNDAI
SANTA FE GLS 4X4 3.3 AUT;HYUNDAI
ALL NEW OUTBACK 2.5I AWD CVT XV;SUBARU
XC70 PLUS 2.4;VOLVO
ALL NEW CX 54X4 2.5;MAZDA
V90 D5;VOLVO
SANTA FE GLS FULL AW;HYUNDAI
NEW GRAND CHEROKEE LTD3.0;JEEP
MONTERO SPORT G2 FULL 3.5 AT;MITSUBISHI
TOUAREG TDI;VOLKSWAGEN
HAVAL H5 LE 2.0;GREAT WALL
VERACRUZ LTD 3.8 AUT;HYUNDAI
ALL NEW OUTBACK LTD 4X4 CVT 2.5I;SUBARU
XC70 D5 COMFORT 4X4;VOLVO
CAPTIVA IV LT FULL 2;CHEVROLET
CAPTIVA III FULL 4X4;CHEVROLET
COMPASS LTD 2.4 AT;JEEP
FORESTER 2.5I;SUBARU
FORESTER 2 2.0 AWD LIMITED AT;SUBARU
NEW TIGUAN TDI;VOLKSWAGEN
TUCSON GLS PREMIUM 4X4 2.0 AT;HYUNDAI
ML350 4X4 3.5;MERCEDES BENZ
OCTAVIA COMBI SCOUT;SKODA
ALL NEW OUTBACK LTDCVT 2.5;SUBARU
ESCAPE XLT 4X4 3.0;FORD
CX 9 SIX PASSENGER AWD AUT;MAZDA
MURANO ADVANCE AWD 3.5 AUT;NISSAN
SOLIO;SUZUKI
LF VAN EX 1.2;LIFAN
TUCSON TL CRDI 2.0 AT;HYUNDAI
2008 ACTIVE E HDI 1.;PEUGEOT
Q7 TFSI 2.0;AUDI
GRAND CHEROKEE OVERLAND 3.6 AUT;JEEP
X6 XDRIVE 30D 4X4 3.;BMW
PATHFINDER 4X4 CVT 3;NISSAN
LX570 4X4 5.7 AUT;LEXUS
G SANTA FE CRDI GLS 4WD 2.2 AUT;HYUNDAI
CALIFORNIA 4X4 2.0 A;VOLKSWAGEN
XC90 D5 LTD AWD 2.4 AUT;VOLVO
TIGUAN  AT;VOLKSWAGEN
TRIBUTE 2.3;MAZDA
XV AWD 1.6 AUT;SUBARU
AX7 NOBLE 2.0;DFM
TIGUAN HIGHLINE PS TSI 2.0 AT;VOLKSWAGEN
OUTLANDER CVT;MITSUBISHI
COMPASS SPORT LX 2.4 AUT;JEEP
ODDYSEY;HONDA
REIN 4X4 2.4;
G CARNIVAL EX FULL 4X4 2.9 AUT;KIA MOTORS
JOURNEY SXT FULL 2.7 AUT;DODGE
Q7 TDI TURBO QUATTRO 3.0 AUT;AUDI
X3 SDRIVE XLINE LCI 2.0 AUT;BMW
COMMANDER 3.7 AUT;JEEP
EXPEDITION LTD5.4;FORD
QASHQAI 4WD 2.0 AUT;NISSAN
COOPER COUNTRYMAN 1.6;MINI
RAV4 LTD2.5 AT;TOYOTA
KALINA LUXE;LADA
CS35 1.5;CHANGAN
VITARA LTD AT;SUZUKI
FORESTER LTD SPORT 2.5;SUBARU
XC60 T5 AWD 2.0 AUT;VOLVO
ALL N FORESTER DYNAM;SUBARU
C30;VOLVO
RX450H F SPORT 4X4 3;LEXUS
ALL NEW 4RUNNER 4X4 4.0 AUT;TOYOTA
GLC 220D 4MATIC;MERCEDES BENZ
PILOT TOURING EXL 4X4 3.5 AUT;HONDA
KOLEOS EXPRESSION FULL 2.5;RENAULT
NEW XV DYNAMIC AWD CVT 2.0I;SUBARU
KICKS  AT;NISSAN
NEW ACTYON SPORT 4X4;SSANGYONG
TRIBECA 3.6R 4X4 LTD AUT;SUBARU
WRANGLER 4X4 3.7 AUT;JEEP
MPV 4X4 2.3 AUT;MAZDA
CAYENNE S E HYBRID;PORSCHE
NEW TUCSON CRDI4X4;HYUNDAI
RX 450H 3.5;LEXUS
NEW ESCAPE 4WD 2.0 A;FORD
KODIAQ STYLE TSI;SKODA
X3 SDRIVE 20I XLINE LCI 2.0 AUT;BMW
TIGUAN TSI  AT;VOLKSWAGEN
RANGE ROVER VOGUE 5.0;LAND ROVER
 ;RENAULT
